index,cluster,formatname,Year
776,1,ScottWilliams,2001
777,1,KevinWillis,2001
778,1,LorenzenWright,2001
779,1,DaliborBagaric,2002
780,1,TonyBattie,2002
781,1,CorieBlount,2002
782,1,MarkBlount,2002
783,1,KwameBrown,2002
784,1,EldenCampbell,2002
785,1,DerrickColeman,2002
786,1,JasonCollins,2002
787,1,EddyCurry,2002
788,1,AntonioDavis,2002
789,1,AndrewDeClercq,2002
790,1,MichaelDoleac,2002
791,1,AltonFord,2002
792,1,JeffFoster,2002
793,1,LawrenceFunderburke,2002
794,1,KevinGarnett,2002
795,1,PauGasol,2002
796,1,EddieGriffin,2002
797,1,ZendonHamilton,2002
798,1,OthellaHarrington,2002
799,1,DonnellHarvey,2002
800,1,PopeyeJones,2002
801,1,TravisKnight,2002
802,1,DonyellMarshall,2002
803,1,TonyMassenburg,2002
804,1,ChrisMihm,2002
805,1,NazrMohammed,2002
806,1,EricMontross,2002
807,1,EduardoNajera,2002
808,1,VitalyPotapenko,2002
809,1,MalikRose,2002
810,1,JoeSmith,2002
811,1,StromileSwift,2002
812,1,KurtThomas,2002
813,1,RobertTraylor,2002
814,1,GaryTrent,2002
815,1,JakeTsakalidis,2002
816,1,AaronWilliams,2002
817,1,LorenzenWright,2002
818,1,VinBaker,2003
819,1,LonnyBaxter,2003
820,1,JonathanBender,2003
821,1,CorieBlount,2003
822,1,MarkBlount,2003
823,1,CalvinBooth,2003
824,1,CarlosBoozer,2003
825,1,KwameBrown,2003
826,1,PJBrown,2003
827,1,DerrickColeman,2003
828,1,EddyCurry,2003
829,1,AntonioDavis,2003
830,1,DaleDavis,2003
831,1,AndrewDeClercq,2003
832,1,MelvinEly,2003
833,1,MarcusFizer,2003
834,1,KevinGarnett,2003
835,1,PauGasol,2003
836,1,EddieGriffin,2003
837,1,OthellaHarrington,2003
838,1,AlanHenderson,2003
839,1,TyroneHill,2003
840,1,RyanHumphrey,2003
841,1,ZydrunasIlgauskas,2003
842,1,ShawnKemp,2003
843,1,RaefLaFrentz,2003
844,1,ToddMacCulloch,2003
845,1,DonyellMarshall,2003
846,1,TonyMassenburg,2003
847,1,NazrMohammed,2003
848,1,TerenceMorris,2003
849,1,TroyMurphy,2003
850,1,RashoNesterovic,2003
851,1,JermaineONeal,2003
852,1,MehmetOkur,2003
853,1,BoOutlaw,2003
854,1,CherokeeParks,2003
855,1,ZachRandolph,2003
856,1,ZeljkoRebraca,2003
857,1,ArvydasSabonis,2003
858,1,BrianSkinner,2003
859,1,JoeSmith,2003
860,1,AmareStoudemire,2003
861,1,KennyThomas,2003
862,1,RobertTraylor,2003
863,1,GaryTrent,2003
864,1,JakeTsakalidis,2003
865,1,JakeVoskuhl,2003
866,1,ChrisWilcox,2003
867,1,AaronWilliams,2003
868,1,KevinWillis,2003
869,1,LorenWoods,2003
870,1,LorenzenWright,2003
871,1,MalikAllen,2004
872,1,TonyBattie,2004
873,1,CarlosBoozer,2004
874,1,ChrisBosh,2004
875,1,BrianCook,2004
876,1,EddyCurry,2004
877,1,FranciscoElson,2004
878,1,ReggieEvans,2004
879,1,JeffFoster,2004
880,1,KevinGarnett,2004
881,1,PauGasol,2004
882,1,UdonisHaslem,2004
883,1,AndreiKirilenko,2004
884,1,KenyonMartin,2004
885,1,AntonioMcDyess,2004
886,1,BradMiller,2004
887,1,NazrMohammed,2004
888,1,MikkiMoore,2004
889,1,TroyMurphy,2004
890,1,MehmetOkur,2004
891,1,ZachRandolph,2004
892,1,JoeSmith,2004
893,1,AmareStoudemire,2004
894,1,KurtThomas,2004
895,1,ChrisWilcox,2004
896,1,MalikAllen,2005
897,1,CarlosBoozer,2005
